"Bestand af 18-64-årige flygtninge og familiesammenførte til flygtninge, der hører til bruttomålgruppen for integrationsprogrammet, fordelt på kommuner, 1. oktober 2018, antal",
,
"Anm.: Figuren omfatter kun flygtninge og familiesammenførte til flygtninge, der hører til bruttomålgruppen for integrationsprogrammet, dvs. er indvandret inden for 5 år fra opgørelsestidspunktet. Antallet af kommuner, der falder inden for hvert interval, er angivet i parentes.  
  Anm.: Figuren omfatter den samlede gruppe af flygtninge og familiesammenførte til flygtninge, der hører til bruttomålgruppen for integrationsprogrammet, herunder dem, der ikke på integrationsydelse.  
 Kilde: Udlændinge- og Integrationsministeriets udlændingedatabase, IMINT03K.  ",
,
,Personer
Albertslund,24
Allerød,153
Assens,266
Ballerup,108
Billund,159
Bornholm,280
Brøndby,17
Brønderslev,269
Dragør,89
Egedal,262
Esbjerg,538
Fanø,27
Favrskov,315
Faxe,219
Fredensborg,148
Fredericia,202
Frederiksberg,286
Frederikshavn,393
Frederikssund,241
Furesø,162
Faaborg-Midtfyn,302
Gentofte,289
Gladsaxe,148
Glostrup,44
Greve,192
Gribskov,215
Guldborgsund,372
Haderslev,323
Halsnæs,171
Hedensted,210
Helsingør,276
Herlev,35
Herning,455
Hillerød,236
Hjørring,414
Holbæk,362
Holstebro,347
Horsens,426
Hvidovre,77
Høje-Taastrup,39
Hørsholm,153
Ikast-Brande,168
Ishøj,7
Jammerbugt,250
Kalundborg,258
Kerteminde,142
Kolding,442
København,656
Køge,317
Langeland,74
Lejre,171
Lemvig,128
Lolland,209
Lyngby-Taarbæk,230
Læsø,2
Mariagerfjord,250
Middelfart,237
Morsø,141
Norddjurs,238
Nordfyns,209
Nyborg,193
Næstved,442
Odder,164
Odense,695
Odsherred,197
Randers,468
Rebild,170
Ringkøbing-Skjern,289
Ringsted,143
Roskilde,419
Rudersdal,296
Rødovre,58
Samsø,26
Silkeborg,497
Skanderborg,393
Skive,295
Slagelse,368
Solrød,123
Sorø,156
Stevns,147
Struer,147
Svendborg,298
Syddjurs,254
Sønderborg,393
Thisted,243
Tårnby,203
Tønder,238
Vallensbæk,15
Varde,266
Vejen,266
Vejle,542
Vesthimmerlands,230
Viborg,518
Vordingborg,271
Aabenraa,269
Aalborg,"1,126"
Aarhus,"1,089"
Ærø,31
